task_id,actv_code_type_id,actv_code_id,proj_id
106071,1734,7490,4680
106071,1735,7491,4680
106071,1736,7489,4680
106071,1737,7505,4680
106222,1734,7490,4680
106222,1735,7491,4680
106222,1736,7489,4680
106222,1737,7505,4680
106223,1734,7490,4680
106223,1735,7491,4680
106223,1736,7489,4680
106223,1737,7505,4680
106224,1734,7490,4680
106224,1735,7491,4680
106224,1736,7498,4680
106224,1737,7505,4680
106225,1734,7490,4680
106225,1735,7491,4680
106225,1736,7498,4680
106225,1737,7505,4680
106226,1734,7490,4680
106226,1735,7491,4680
106226,1736,7498,4680
106226,1737,7505,4680
106227,1734,7490,4680
106227,1735,7491,4680
106227,1736,7498,4680
106227,1737,7505,4680
106228,1734,7490,4680
106228,1735,7491,4680
106228,1736,7502,4680
106228,1737,7505,4680
106229,1734,7490,4680
106229,1735,7491,4680
106229,1736,7502,4680
106229,1737,7505,4680
106230,1734,7490,4680
106230,1735,7491,4680
106230,1736,7514,4680
106230,1737,7505,4680
106231,1734,7490,4680
106231,1735,7492,4680
106231,1736,7498,4680
106231,1737,7506,4680
106232,1734,7490,4680
106232,1735,7492,4680
106232,1736,7498,4680
106232,1737,7506,4680
106233,1734,7490,4680
106233,1735,7492,4680
106233,1736,7498,4680
106233,1737,7507,4680
106234,1734,7490,4680
106234,1735,7492,4680
106234,1736,7498,4680
106234,1737,7507,4680
106235,1734,7490,4680
106235,1735,7492,4680
106235,1736,7498,4680
106235,1737,7508,4680
106236,1734,7490,4680
106236,1735,7492,4680
106236,1736,7498,4680
106236,1737,7508,4680
106237,1734,7490,4680
106237,1735,7492,4680
106237,1736,7498,4680
106237,1737,7509,4680
106238,1734,7490,4680
106238,1735,7492,4680
106238,1736,7498,4680
106238,1737,7509,4680
106239,1734,7490,4680
106239,1735,7492,4680
106239,1736,7498,4680
106239,1737,7510,4680
106240,1734,7490,4680
106240,1735,7492,4680
106240,1736,7498,4680
106240,1737,7510,4680
106241,1734,7490,4680
106241,1735,7492,4680
