curr_id,decimal_digit_cnt,curr_symbol,decimal_symbol,digit_group_symbol,pos_curr_fmt_type,neg_curr_fmt_type,curr_type,curr_short_name,group_digit_cnt,base_exch_rate
1,2,$,.,",",#1.1,(#1.1),US Dollar,USD,3,1
13,2,£,.,",",#1.1,(#1.1),Pound Sterling,GBP,3,0.618603
14,2,¥,.,",",#1.1,(#1.1),Japanese Yen,JPY,3,91.2708
15,2,€,.,",",#1.1,(#1.1),Euro,EUR,3,0.689711
16,2,¥,.,",",#1.1,(#1.1),Chinese Yuan Renminbi,CNY,3,6.82502
17,2,$,.,",",#1.1,(#1.1),Canadian Dollar,CAD,3,1.03757
18,2,RUB,.,",",#1.1,(#1.1),Russian Ruble,RUB,3,0.033948
19,2,$,.,",",#1.1,(#1.1),Argentine Peso,ARS,3,3.79109
20,2,$b,.,",",#1.1,(#1.1),Bolivian Boliviano,BOB,3,7.5708
21,2,R$,.,",",#1.1,(#1.1),Brazilian Real,BRL,3,1.7665
22,2,$,.,",",#1.1,(#1.1),Chilean Peso,CLP,3,507.58
23,2,$,.,",",#1.1,(#1.1),Columbian Peso,COP,3,1957.74
24,2,$,.,",",#1.1,(#1.1),Guyanese Dollar,GYD,3,202.95
25,2,Gs,.,",",#1.1,(#1.1),Paraguayan Guarani,PYG,3,4640
26,2,S/.,.,",",#1.1,(#1.1),Peruvian Nuevo Sol,PEN,3,2.7244
27,2,$,.,",",#1.1,(#1.1),Surinamese Dollar,SRD,3,2.8
28,2,Bs,.,",",#1.1,(#1.1),Venezuelan Bolivar Fuerto,VEF,3,2.1446
29,2,$U,.,",",#1.1,(#1.1),Uruguayan Peso,UYU,3,21.247
30,2,LE,.,",",#1.1,(#1.1),EGP,EP,3,6.97
