rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
7331,10552,1,30.00,2013-01-01 00:00,,,,,
7332,10553,1,20.00,2013-01-01 00:00,,,,,
7333,10554,1,15.00,2013-01-01 00:00,,,,,
7334,10555,1,5.00,2013-01-01 00:00,,,,,
7336,10557,1,0.00,2013-01-01 00:00,,,,,
7337,10558,1,0.00,2013-01-01 00:00,,,,,
7338,10559,1,5000.00,2013-01-01 00:00,,,,,
7339,10560,1,0.00,2013-01-01 00:00,,,,,
7341,10562,1,0.00,2013-01-01 00:00,,,,,
7342,10563,1,250.00,2013-01-01 00:00,,,,,
7343,10564,1,0.00,2013-01-01 00:00,,,,,
7344,10565,1,3.00,2013-01-01 00:00,,,,,
7345,10566,1,13.00,2013-01-01 00:00,,,,,
7346,10567,1,2.00,2013-01-01 00:00,,,,,
7347,10568,1,500.00,2013-01-01 00:00,,,,,
7348,10569,1,25.00,2013-01-01 00:00,,,,,
7349,10570,1,12.00,2013-01-01 00:00,,,,,
7350,10571,1,200.00,2013-01-01 00:00,,,,,
7351,10572,1,0.00,2013-01-01 00:00,,,,,
7352,10573,1,0.00,2013-01-01 00:00,,,,,
7353,10574,1,0.00,2013-01-01 00:00,,,,,
7354,10575,1,0.00,2013-01-01 00:00,,,,,
7355,10576,1,750.00,2013-01-01 00:00,,,,,
7356,10577,1,12.00,2013-01-01 00:00,,,,,
7357,10578,1,50.00,2013-01-01 00:00,,,,,
7358,10579,1,120.00,2013-01-01 00:00,,,,,
7359,10580,1,12.00,2013-01-01 00:00,,,,,
7360,10581,1,90.00,2013-01-01 00:00,,,,,
7361,10582,1,35.00,2013-01-01 00:00,,,,,
7362,10583,1,10.00,2013-01-01 00:00,,,,,
7363,10584,1,50.00,2013-01-01 00:00,,,,,
7364,10585,1,150.00,2013-01-01 00:00,,,,,
7365,10586,1,15.00,2013-01-01 00:00,,,,,
7366,10587,1,80.00,2013-01-01 00:00,,,,,
7367,10588,1,3.00,2013-01-01 00:00,,,,,
7368,10589,1,150.00,2013-01-01 00:00,,,,,
7369,10590,1,12.00,2013-01-01 00:00,,,,,
7371,10592,1,1000.00,2013-01-01 00:00,,,,,
7372,10593,1,50.00,2013-01-01 00:00,,,,,
7373,10594,1,0.00,2013-01-01 00:00,,,,,
7374,10595,1,0.00,2013-01-01 00:00,,,,,
7375,10596,1,0.00,2013-01-01 00:00,,,,,
7376,10597,1,0.00,2013-01-01 00:00,,,,,
7377,10598,1,0.00,2013-01-01 00:00,,,,,
7378,10599,1,0.00,2013-01-01 00:00,,,,,
7379,10600,1,0.00,2013-01-01 00:00,,,,,
7381,10602,1,0.00,2013-01-01 00:00,,,,,
7382,10603,1,0.00,2013-01-01 00:00,,,,,
7383,10604,1,0.00,2013-01-01 00:00,,,,,
7384,10605,1,0.00,2013-01-01 00:00,,,,,
7385,10606,1,0.00,2013-01-01 00:00,,,,,
7386,10607,1,0.00,2013-01-01 00:00,,,,,
7387,10608,1,0.00,2013-01-01 00:00,,,,,
7388,10609,1,0.00,2013-01-01 00:00,,,,,
7389,10610,1,0.00,2013-01-01 00:00,,,,,
7390,10611,1,0.00,2013-01-01 00:00,,,,,
7391,10612,1,0.00,2013-01-01 00:00,,,,,
7393,10614,1,0.00,2013-01-01 00:00,,,,,
