task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
106071,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,10,EXCAVATION,,0,0,100,0,0,0,100,304,0,304,,,,2013-09-16 12:00,2013-09-30 16:00,,2013-09-16 12:00,2013-09-30 16:00,2013-09-16 12:00,2013-09-30 16:00,2013-09-16 12:00,2013-09-30 16:00,2013-09-16 12:00,2013-09-30 16:00,,PT_Normal,,,,,NdRv+yWCW0G656oEZI330w,,,,Y,0,0,,,2013-08-03 16:43,2013-09-14 22:01,admin,admin,
106222,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,20,REPLACMENT LAYER,10566,0,0,70,0,1500,1500,70,0,0,0,,,,2013-10-01 08:00,2013-10-10 14:00,,2013-10-01 08:00,2013-10-10 14:00,2013-10-01 08:00,2013-10-10 14:00,2013-10-01 08:00,2013-10-10 14:00,2013-10-01 08:00,2013-10-10 14:00,,PT_Normal,,,,,OER4hqtcIUO58BPf9FXkag,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
106223,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,30,BACKFILL,,0,0,50,0,0,0,50,96,0,96,,,,2013-11-26 14:00,2013-12-04 16:00,,2013-11-26 14:00,2013-12-04 16:00,2013-11-26 14:00,2013-12-04 16:00,2013-11-26 14:00,2013-12-04 16:00,2013-11-26 14:00,2013-12-04 16:00,,PT_Normal,,,,,J6FITstXFUm0WN55H0M1UQ,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
106224,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,40,P.C,10557,0,0,70,0,255,255,70,0,0,0,,,,2013-10-10 14:00,2013-10-21 12:00,,2013-10-10 14:00,2013-10-21 12:00,2013-10-10 14:00,2013-10-21 12:00,2013-10-10 14:00,2013-10-21 12:00,2013-10-10 14:00,2013-10-21 12:00,,PT_Normal,,,,,gmVE/blAnkGDJuBObsGs2w,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
106225,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,50,R.C,10557,0,0,120,0,933,933,120,0,0,0,,,,2013-10-21 12:00,2013-11-07 12:00,,2013-10-21 12:00,2013-11-07 12:00,2013-10-21 12:00,2013-11-07 12:00,2013-10-21 12:00,2013-11-07 12:00,2013-10-21 12:00,2013-11-07 12:00,,PT_Normal,,,,,g1TK0lw77EmN666hANXhkg,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
106226,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,60,NECK COLUMN,10557,0,0,70,0,9933,9933,70,0,0,0,,,,2013-11-07 12:00,2013-11-18 10:00,,2013-11-07 12:00,2013-11-18 10:00,2013-11-07 12:00,2013-11-18 10:00,2013-11-07 12:00,2013-11-18 10:00,2013-11-07 12:00,2013-11-18 10:00,,PT_Normal,,,,,FQX9aRdj0U29Lo04eIANZQ,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
106227,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,70,SLAB ON GRADE,10558,0,0,20,0,22,22,20,0,0,0,,,,2013-12-05 08:00,2013-12-08 12:00,,2013-12-05 08:00,2013-12-08 12:00,2013-12-05 08:00,2013-12-08 12:00,2013-12-05 08:00,2013-12-08 12:00,2013-12-05 08:00,2013-12-08 12:00,,PT_Normal,,,,,jPbqAMF5K0KAn/6PMibYOQ,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
106228,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,80,DAMP PROOFING,10606,0,0,20,0,4,4,20,0,0,0,,,,2013-11-23 08:00,2013-11-25 12:00,,2013-11-23 08:00,2013-11-25 12:00,2013-11-23 08:00,2013-11-25 12:00,2013-11-23 08:00,2013-11-25 12:00,2013-11-23 08:00,2013-11-25 12:00,,PT_Normal,,,,,8wsv9cg29k+3feRpYPew3Q,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
106229,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,90,INSULATION,10562,0,0,10,0,255,255,10,0,0,0,,,,2013-11-25 12:00,2013-11-26 14:00,,2013-11-25 12:00,2013-11-26 14:00,2013-11-25 12:00,2013-11-26 14:00,2013-11-25 12:00,2013-11-26 14:00,2013-11-25 12:00,2013-11-26 14:00,,PT_Normal,,,,,uMt4qmbLYEe5NPpe555Z4A,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
106230,4680,26186,6690,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,100,BRICK WORK,10564,0,0,30,0,22,22,30,0,0,0,,,,2013-11-18 10:00,2013-11-21 16:00,,2013-11-18 10:00,2013-11-21 16:00,2013-11-18 10:00,2013-11-21 16:00,2013-11-18 10:00,2013-11-21 16:00,2013-11-18 10:00,2013-11-21 16:00,,PT_Normal,,,,,2qsxBkKo4k2BmgZAgPUmYg,,,,Y,0,0,,,2013-08-03 16:51,2013-09-14 22:01,admin,admin,
