task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
42802,106592,106559,4680,4680,PR_FS,0,,2013-08-03 08:00,2013-08-03 08:00
42803,106071,106592,4680,4680,PR_FS,0,,2013-09-16 12:00,2013-09-16 12:00
42804,106222,106071,4680,4680,PR_FS,0,,2013-09-30 16:00,2013-10-01 08:00
42805,106224,106222,4680,4680,PR_FS,0,,2013-10-10 14:00,2013-10-10 14:00
42806,106225,106224,4680,4680,PR_FS,0,,2013-10-21 12:00,2013-10-21 12:00
42807,106226,106225,4680,4680,PR_FS,0,,2013-11-07 12:00,2013-11-07 12:00
42808,106230,106226,4680,4680,PR_FS,0,,2013-11-18 10:00,2013-11-18 10:00
42809,106228,106230,4680,4680,PR_FS,0,,2013-11-21 16:00,2013-11-23 08:00
42810,106229,106228,4680,4680,PR_FS,0,,2013-11-25 12:00,2013-11-25 12:00
42811,106223,106229,4680,4680,PR_FS,0,,2013-11-26 14:00,2013-11-26 14:00
42812,106227,106223,4680,4680,PR_FS,0,,2013-12-04 16:00,2013-12-05 08:00
42813,106231,106227,4680,4680,PR_FS,0,,2013-12-08 12:00,2013-12-08 12:00
42814,106232,106231,4680,4680,PR_FS,0,,2013-12-18 10:00,2013-12-18 10:00
42815,106233,106232,4680,4680,PR_FS,0,,2014-01-02 14:00,2014-01-02 14:00
42816,106234,106233,4680,4680,PR_FS,0,,2014-01-13 12:00,2014-01-13 12:00
42817,106235,106234,4680,4680,PR_FS,0,,2014-01-29 10:00,2014-02-11 12:00
42818,106236,106235,4680,4680,PR_FS,0,,2014-02-08 16:00,2014-02-22 10:00
42819,106237,106236,4680,4680,PR_FS,0,,2014-02-23 12:00,2014-03-22 08:00
42820,106238,106237,4680,4680,PR_FS,0,,2014-03-05 10:00,2014-03-31 14:00
42821,106239,106238,4680,4680,PR_FS,0,,2014-03-19 14:00,2014-04-28 12:00
42822,106240,106239,4680,4680,PR_FS,0,,2014-03-30 12:00,2014-05-08 10:00
42823,106241,106240,4680,4680,PR_FS,0,,2014-04-13 16:00,2014-06-19 12:00
42824,106242,106241,4680,4680,PR_FS,0,,2014-04-21 10:00,2014-06-26 14:00
