taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
89065,106071,4680,Y,,,10552,,,56,56,0.8,0,0.8,0,0,0,,30.00,1680.00,0.00,0.00,1680.00,,,2013-09-16 12:00,2013-09-26 10:00,2013-09-16 12:00,2013-09-26 10:00,2013-09-21 10:00,2013-09-30 16:00,Y,,,,N,yTYbfQeOK0S4fDQtBP3Cmw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-08-26 21:09,,
89066,106071,4680,Y,,,10552,,,72,72,1.02857143,0,1.02857143,0,0,0,,30.00,2160.00,0.00,0.00,2160.00,,,2013-09-16 12:00,2013-09-26 10:00,2013-09-16 12:00,2013-09-26 10:00,2013-09-21 10:00,2013-09-30 16:00,Y,,,,N,KuixuW1JlkuHWGet1l81Hw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-08-26 21:09,,
89067,106071,4680,Y,,,10553,,,64,64,0.8,20,0.8,0,0,20,,20.00,1280.00,0.00,0.00,1280.00,,,2013-09-19 08:00,2013-09-30 16:00,2013-09-19 08:00,2013-09-30 16:00,2013-09-19 08:00,2013-09-30 16:00,Y,,,,N,f3cljKVXh0OjsFUCii+8uw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-08-26 21:11,,
89068,106071,4680,Y,,,10554,,,56,56,0.8,30,0.8,0,0,30,,15.00,840.00,0.00,0.00,840.00,,,2013-09-21 10:00,2013-09-30 16:00,2013-09-21 10:00,2013-09-30 16:00,2013-09-21 10:00,2013-09-30 16:00,Y,,,,N,8di6AOaQB0uke6X/qumthA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-08-26 21:11,,
89069,106071,4680,Y,,,10554,,,56,56,0.8,30,0.8,0,0,30,,15.00,840.00,0.00,0.00,840.00,,,2013-09-21 10:00,2013-09-30 16:00,2013-09-21 10:00,2013-09-30 16:00,2013-09-21 10:00,2013-09-30 16:00,Y,,,,N,U8NZVgcDvUOTEjE4W9OyyQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-08-26 21:11,,
89073,106222,4680,Y,,,10566,,,1500,1500,21.42857143,0,21.42857143,0,0,0,,13.00,19500.00,0.00,0.00,19500.00,,,2013-10-01 08:00,2013-10-10 14:00,2013-10-01 08:00,2013-10-10 14:00,2013-10-01 08:00,2013-10-10 14:00,Y,,,,N,K8rgEnf+ZEu4BlsNbzw35A,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-08-26 21:28,,
89074,106223,4680,Y,,,10553,,,32,32,0.8,0,0.8,0,0,0,,20.00,640.00,0.00,0.00,640.00,,,2013-11-26 14:00,2013-12-03 14:00,2013-11-26 14:00,2013-12-03 14:00,2013-11-30 08:00,2013-12-04 16:00,Y,,,,N,S8OPkwX6k0q/p1Ii6qWugQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-08-26 21:29,,
89075,106223,4680,Y,,,10553,,,24,24,0.8,0,0.8,0,0,0,,20.00,480.00,0.00,0.00,480.00,,,2013-11-26 14:00,2013-12-02 12:00,2013-11-26 14:00,2013-12-02 12:00,2013-12-01 10:00,2013-12-04 16:00,Y,,,,N,+zqCsLw9rUON500g2vl/5A,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-08-26 21:31,,
89076,106223,4680,Y,,,10555,,,40,40,2,30,2,0,0,30,,5.00,200.00,0.00,0.00,200.00,,,2013-12-02 12:00,2013-12-04 16:00,2013-12-02 12:00,2013-12-04 16:00,2013-12-02 12:00,2013-12-04 16:00,Y,,,,N,S15kCjpR2UOleNWjbCIF1g,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-08-26 21:31,,
89077,106223,4680,Y,,,10567,,,500,500,12.5,10,12.5,0,0,10,,2.00,1000.00,0.00,0.00,1000.00,,,2013-11-30 08:00,2013-12-04 16:00,2013-11-30 08:00,2013-12-04 16:00,2013-11-30 08:00,2013-12-04 16:00,Y,,,,N,MqtGrzfv6Eisi0NdQh4HtQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2013-08-26 21:31,,
89084,106224,4680,N,,,10557,,,208,208,3.46666667,0,3.46666667,0,0,0,,0.00,8320.00,0.00,0.00,8320.00,,,2013-10-10 14:00,2013-10-20 10:00,2013-10-10 14:00,2013-10-20 10:00,2013-10-13 08:00,2013-10-21 12:00,Y,,,,N,/EzyfHyBhkSAplHlPAs2Bg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-08-26 21:45,,
89086,106224,4680,N,,,10560,,,208,208,20.8,60,20.8,0,0,60,,0.00,45760.00,0.00,0.00,45760.00,,,2013-10-20 10:00,2013-10-21 12:00,2013-10-20 10:00,2013-10-21 12:00,2013-10-20 10:00,2013-10-21 12:00,Y,,,,N,HFDcv9rs2Eipj9/CBNL/MQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2013-08-26 21:48,,
89087,106225,4680,N,,,10557,,,200,200,4,0,4,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-10-21 12:00,2013-10-28 14:00,2013-10-21 12:00,2013-10-28 14:00,2013-10-31 10:00,2013-11-07 12:00,Y,,,,N,ZimSLyENTEGzcFNuHE0fiQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-08-26 21:51,,
89088,106225,4680,N,,,10558,,,304,304,10.13333333,50,10.13333333,0,0,50,,0.00,0.00,0.00,0.00,0.00,,,2013-10-28 14:00,2013-11-02 12:00,2013-10-28 14:00,2013-11-02 12:00,2013-11-03 14:00,2013-11-07 12:00,Y,,,,N,r3GqyESRokSdm1ph8a+yhQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-08-26 21:51,,
89089,106225,4680,N,,,10560,,,304,304,30.4,110,30.4,0,0,110,,0.00,82080.00,0.00,0.00,82080.00,,,2013-11-06 10:00,2013-11-07 12:00,2013-11-06 10:00,2013-11-07 12:00,2013-11-06 10:00,2013-11-07 12:00,Y,,,,N,U5fn0gjFIkyvt5S+MxOKjw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2013-08-26 21:51,,
89090,106225,4680,Y,,,10559,,,30,30,0.25,0,0.25,0,0,0,0,5000.00,150000.00,0.00,0.00,150000.00,,,2013-10-21 12:00,2013-11-07 12:00,2013-10-21 12:00,2013-11-07 12:00,2013-10-21 12:00,2013-11-07 12:00,Y,,,,N,cZrdaFhCdkGOExIJNEOrgg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2013-08-26 21:51,,
89091,106225,4680,N,,,10557,,,54,54,5.4,80,5.4,0,0,80,,0.00,0.00,0.00,0.00,0.00,,,2013-11-02 12:00,2013-11-03 14:00,2013-11-02 12:00,2013-11-03 14:00,2013-11-06 10:00,2013-11-07 12:00,Y,,,,N,WNo35Me63UmRJx5cczEQ8Q,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-08-28 20:20,,
89092,106225,4680,N,,,10557,,,50,50,5,110,5,0,0,110,,0.00,15200.00,0.00,0.00,15200.00,,,2013-11-06 10:00,2013-11-07 12:00,2013-11-06 10:00,2013-11-07 12:00,2013-11-06 10:00,2013-11-07 12:00,Y,,,,N,bmAZvOuGs0y2PcatLzI3fw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-08-28 20:24,,
89093,106225,4680,N,,,10558,,,96,96,4.8,90,4.8,0,0,90,,0.00,15200.00,0.00,0.00,15200.00,,,2013-11-03 14:00,2013-11-06 10:00,2013-11-03 14:00,2013-11-06 10:00,2013-11-05 08:00,2013-11-07 12:00,Y,,,,N,vfQdDpVOkkWKExDoy/f9fA,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-08-28 20:26,,
