TRIAL PROJECT,,,,,,,,,,Clasic Schedule Layout,,,,,,,,,,,,,23-Sep-13 14:5,,,,,,,,,,,,
Activity ID,,,,,,,,Activity Name,"Original
Duration",,Start,Finish,Total FloaQt,"tr 3, 2013",,"Qtr 4, 2013",,,,,"Qtr 1, 2014",,,,"Qtr 2, 2014",,,"Qtr 3, 2014",,,"Qtr 4, 2014",,,"Qtr 1, 2015",
,,,,,,,,,,,,,,Aug,Sep,Oct,,Nov,,Dec,Jan,Feb,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb
,,,test project,,,,,,386,,"03-Aug-13
A",19-Feb-15,0,"03-Au
03-Au
03-Au
PROJ","g-13, ge
g-13, ge
g-13, al
ECT ST","neral mile
neral
flor
ART, 03-",,"stone
Aug-13",,,,,,,,,,,,,,,,,
,g,,,,eneral mile,,,stone,0,,03-Aug-13,03-Aug-13,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,general,,,0,,03-Aug-13,03-Aug-13,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,al flor,,0,,03-Aug-13,03-Aug-13,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,140,,,PROJECT START,0,,03-Aug-13,,,,,,,,,,,,,,,,,,,,,,,,
,e,,,,nginering,,,work,319,,03-Aug-13,13-Nov-14,67,,"16
16
M","-Sep-13,
-Sep-13,
OBILZAT",,"general
al flor
ION
2",,0-Nov-1,"3, civil sh",opdrawi,,ng,,,,,,,,13-,"Nov-14,",enginer,ing w
,,,,,,general,,,30,,03-Aug-13,16-Sep-13,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,al flor,,30,,03-Aug-13,16-Sep-13,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,1730,,,MOBILZATION,30,,03-Aug-13,16-Sep-13,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,civil shopdra,,wing,75,,03-Aug-13,20-Nov-13,143,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,undergroun,d,10,,03-Aug-13,17-Aug-13,4,"17
R.C
R.
B.","-Aug-13
SHOPD
C SHOP
31-Au
COL. SH",", undergr
RAWING
DRAWIN
g-13, bas
OPDRA",,"ound
SUBMI
G AP
ement fl
WING S",,"TAL
ROVAL
or
UBMITAL",,,,,,,,,,,,,,,
,,,,,1410,,,R.C SHOPDRAWING SUBMITAL,5,,03-Aug-13,10-Aug-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1420,,,R.C SHOPDRAWING APROVAL,5,,10-Aug-13,17-Aug-13,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,basement fl,or,15,,10-Aug-13,31-Aug-13,73,,,,,,,,,,,,,,,,,,,,,,
,,,,,1450,,,B.COL. SHOPDRAWING SUBMITAL,5,,10-Aug-13,17-Aug-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1460,,,B.COL SHOPDRAWING APROVAL,5,,17-Aug-13,24-Aug-13,71,,"B.COL S
B.SLAB
B.SLA
16
GR.CO","HOPDR
SHOPD
B SHOP
-Sep-13,
L. SHO",,"AWING
RAWING
DRAWIN
ground
PDRAWI",,"APROV
SUBMIT
G APR
flor
NG SUB","AL
AL
OVAL
MITAL",,,,,,,,,,,,,,
,,,,,1740,,,B.SLAB SHOPDRAWING SUBMITAL,5,,17-Aug-13,24-Aug-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1750,,,B.SLAB SHOPDRAWING APROVAL,5,,24-Aug-13,31-Aug-13,73,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ground flo,r,15,,24-Aug-13,16-Sep-13,80,,,,,,,,,,,,,,,,,,,,,,
,,,,,1470,,,GR.COL. SHOPDRAWING SUBMITAL,5,,24-Aug-13,31-Aug-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1480,,,GR.COL SHOPDRAWING APROVAL,5,,01-Sep-13,09-Sep-13,78,,,"COL SH
SLAB SH
R.SLAB
30-Sep
T COL.",,"OPDRA
OPDRA
SHOPDR
-13, 1st
SHOPD",,"WING AP
WING S
AWING
flor
RAWING","PROVAL
UBMITA
APROV
SUBMIT","L
AL
AL",,,,,,,,,,,,,
,,,,,1760,,,GR.SLAB SHOPDRAWING SUBMITAL,5,,01-Sep-13,09-Sep-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,170,,,GR.SLAB SHOPDRAWING APROVAL,5,,09-Sep-13,16-Sep-13,80,,,,,,,,,,,,,,,,,,,,,,
