TRIAL PROJECT,,,,,,,,,Clasic Schedule Layout,,,,,,,,,,,23-Sep-13 14:5,,,,,,,,,,,,,
Activity ID,,,,,,,Activity Name,"Original
Duration",,Start,Finish,Total FloaQt,"tr 3, 2013",,"Qtr 4, 2013",,,"Qtr 1, 2014",,,"Qtr 2, 2014",,,"Qtr 3, 2014",,,,"Qtr 4, 2014",,,,"Qtr 1, 2015",
,,,,,,,,,,,,,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,,Sep,Oct,Nov,,Dec,Jan,Feb
,,,,70,,,WODEN FLORS,14,,21-Aug-14,10-Sep-14,3,,,,,,,,,,,,,A,,,"ODEN F
E FLO
ING FL
M","LORS
RS
ORS",,,,
,,,,780,,,MARBLE FLORS,5,,21-Aug-14,28-Aug-14,3,,,,,,,,,,,,,,,,,,,,,
,,,,790,,,FINISHING FLORS,7,,21-Aug-14,31-Aug-14,3,,,,,,,,,,,,,,,,,,,,,
,,,,80,,,ALUMINUM,21,,2-Jul-14,21-Aug-14,3,,,,,,,,,,,,,,,,,,,,,
,,,,810,,,DOR,21,,01-Sep-14,01-Oct-14,3,,,,,,,,,,,,,,,,"DOR
P",AINTING,,"01-De
EN FLO
LORS","c-14, 3rd
ORS",flor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,820,,,PAINTING,1,,01-Oct-14,16-Oct-14,42,,,,,,,,,,,,,,,,,,,,,
,,,,,,3rd flor,,58,,08-Sep-14,01-Dec-14,21,,,,,,,,,,,,,,,,MA,"WOD
RBLE F",,,,
,,,,830,,,WODEN FLORS,14,,08-Oct-14,28-Oct-14,21,,,,,,,,,,,,,,,,,,,,,
,,,,840,,,MARBLE FLORS,5,,08-Oct-14,15-Oct-14,21,,,,,,,,,,,,,,,,,,,,,
,,,,850,,,FINISHING FLORS,7,,08-Oct-14,19-Oct-14,21,,,,,,,,,,,,,,,,"F
ALU","INISHIN
MINUM
D",,"G FLO
OR
PAINT
29-Nov","RS
ING
-14, rof",flor
,,,,860,,,ALUMINUM,21,,08-Sep-14,08-Oct-14,21,,,,,,,,,,,,,,,,,,,,,
,,,,870,,,DOR,21,,19-Oct-14,18-Nov-14,21,,,,,,,,,,,,,,,,,,,,,
,,,,80,,,PAINTING,9,,18-Nov-14,01-Dec-14,21,,,,,,,,,,,,,,,,,,,,,
,,,,,,rof flor,,73,,14-Aug-14,29-Nov-14,57,,,,,,,,,,,,,,,,,,,,,
,,,,890,,,CEMENT TILES,9,,14-Aug-14,27-Aug-14,105,,,,,,,,,,,,,,,"CEMEN
FAC","T TILES
ADES P
04-Oc
AL WOR","LASTER
t-14, ent
K",,"DOR
erance &",staircas,e
,,,,90,,,FACADES PLASTER,9,,27-Aug-14,09-Sep-14,105,,,,,,,,,,,,,,,,,,,,,
,,,,910,,,DOR,7,,18-Nov-14,29-Nov-14,57,,,,,,,,,,,,,,,,,,,,,
,,,,,,enterance &,staircase,48,,26-Jul-14,04-Oct-14,71,,,,,,,,,,,,,,,CERET,,,,,,
,,,,920,,,CERETAL WORK,21,,26-Jul-14,25-Aug-14,0,,,,,,,,,,,,,,,,,,,,,
,,,,930,,,PLASTER COLORD,13,,02-Sep-14,21-Sep-14,71,,,,,,,,,,,,,,,,"PLASTE
MARB
MAR","R COLO
LE FLO
BLE STA",,"RD
ORS
IRS",F,"26-J
ACAD"
,,,,940,,,MARBLE FLORS,8,,21-Sep-14,02-Oct-14,71,,,,,,,,,,,,,,,,,,,,,
,,,,950,,,MARBLE STAIRS,9,,21-Sep-14,04-Oct-14,71,,,,,,,,,,,,,,,,,,,,,
,,,,,,facades,,45,,2-Nov-14,26-Jan-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,960,,,FACADES PLASTER DAHARA,40,,2-Nov-14,18-Jan-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,970,,,BARGOLAS,5,,19-Jan-15,26-Jan-15,0,,,,,,,,,,,"01-Ju
01-Ju","n-14, me
n-14, me","chincal w
chincal",,orks,,,,,,"BAR
26-J
final"
,,,,,,al flor,,0,,26-Jan-15,26-Jan-15,17,,,,,,,,,,,,,,,,,,,,,
,,,,1360,,,final fisihes closeout,0,,26-Jan-15,26-Jan-15,17,,,,,,,,,,,,,,,,,,,,,
,,,,mechincal w,,,orks,81,,03-Feb-14,01-Jun-14,181,,,,,,,,,,,,,,,,,,,,,
,,,,,mechincal,,,81,,03-Feb-14,01-Jun-14,181,,,,,,,,,,,,,,,,,,,,,
,,,,,,basement fl,or,15,,03-Feb-14,24-Feb-14,23,,,,,,,IN,"24-Feb-
TIAL SAI
FINAL S
1-
INTIAL","14, base
NTARY
AINTAR
Mar-14,
SAINTA","ment flo
WORK
Y WORK
ground fl
RY WOR","r
or
K",,,,,,,,,,
,,,,980,,,INTIAL SAINTARY WORK,7,,03-Feb-14,12-Feb-14,0,,,,,,,,,,,,,,,,,,,,,
,,,,90,,,FINAL SAINTARY WORK,3,,20-Feb-14,24-Feb-14,23,,,,,,,,,,,,,,,,,,,,,
,,,,,,ground flo,r,16,,16-Feb-14,1-Mar-14,26,,,,,,,,,,,,,,,,,,,,,
,,,,10,,,INTIAL SAINTARY WORK,7,,16-Feb-14,25-Feb-14,5,,,,,,,,,,,,,,,,,,,,,
,,,,1010,,,FINAL SAINTARY WORK,3,,06-Mar-14,1-Mar-14,26,,,,,,,,"FIN
I","AL SAIN
09-
NTIAL S
FIN","TARY W
Apr-14, 1
AINTARY
AL SAIN
03-Ma","ORK
st flor
WORK
TARY W
y-14, 2n","ORK
d flor",,,,,,,,,
,,,,,,1st flor,,20,,1-Mar-14,09-Apr-14,209,,,,,,,,,,,,,,,,,,,,,
,,,,1020,,,INTIAL SAINTARY WORK,7,,1-Mar-14,20-Mar-14,9,,,,,,,,,,,,,,,,,,,,,
,,,,1030,,,FINAL SAINTARY WORK,3,,05-Apr-14,09-Apr-14,209,,,,,,,,,,,,,,,,,,,,,
,,,,,,2nd flor,,20,,03-Apr-14,03-May-14,196,,,,,,,,,,,,,,,,,,,,,
,,,,1040,,,INTIAL SAINTARY WORK,7,,03-Apr-14,13-Apr-14,18,,,,,,,,,,"TIAL SAI
FINAL","NTARY
SAINT
28-May
AL SAIN
FINAL","WORK
ARY WO
-14, 3rd f
TARY W
SAINTAR","RK
lor
ORK
Y WOR",,K,,,,,,
,,,,1050,,,FINAL SAINTARY WORK,3,,28-Apr-14,03-May-14,196,,,,,,,,,,,,,,,,,,,,,
,,,,,,3rd flor,,21,,28-Apr-14,28-May-14,181,,,,,,,,,,INTI,,,,,,,,,,,
,,,,1060,,,INTIAL SAINTARY WORK,7,,28-Apr-14,08-May-14,27,,,,,,,,,,,,,,,,,,,,,
,,,,1070,,,FINAL SAINTARY WORK,3,,25-May-14,28-May-14,181,,,,,,,,,,,,,,,,,,,,,
,,,,,,rof flor,,16,,08-May-14,01-Jun-14,181,,,,,,,,,,INT,"01-Ju
IAL SAI
FINAL
01-Ju
mechi","n-14, rof
NTARY W
SAINTA
n-14, al f
ncal clos","flor
ORK
RY WOR
lor
eout",,K,,,,,,
,,,,1080,,,INTIAL SAINTARY WORK,3,,08-May-14,12-May-14,47,,,,,,,,,,,,,,,,,,,,,
,,,,1090,,,FINAL SAINTARY WORK,2,,28-May-14,01-Jun-14,181,,,,,,,,,,,,,,,,,,,,,
,,,,,,al flor,,0,,01-Jun-14,01-Jun-14,181,,,,,,,,,,,,,,,,,,,,,
,,,,1370,,,mechincal closeout,0,,01-Jun-14,01-Jun-14,181,,,,,,,,,,,,,,,,,,,,,
,e,,,lectrical wo,,,rk,241,,23-Feb-14,09-Feb-15,0,,,,,,,,,,,,,,,,,,,,,"0
0"
,,,,,electrical,,,241,,23-Feb-14,09-Feb-15,0,,,,,,,,,,,1,8-Jun-14,", baseme",,nt flor,,,,,,
,,,,,,basement fl,or,79,,23-Feb-14,18-Jun-14,105,,,,,,,,,,,,,,,,,,,,,
"Actual Level of Efort Remaining Work Milestone
Actual Work Critical Remaining Work sumary",,,,,,,,,"Page 5 of 6 T
R",,,,,,,,,,,"ASK filter: Al Activities
esource Profile Filter:E01.excavator",,,,,,,,,,,,,
