TRIAL PROJECT,,,,,,,,,Clas,,,,ic Schedule Layout,,,,,,,23-Sep-13 14:5,,,,,,,,,,,,,
Activity ID,,,,,,,Activity Name,"Original
Duration",,Start,Finish,Total FloaQt,"tr 3, 2013",,"Qtr 4, 2013",,,"Qtr 1, 2014",,,,"Qtr 2, 2014",,,,"Qtr 3, 2014",,,"Qtr 4, 2014",,,"Qtr 1, 2015",
,,,,,,,,,,,,,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,Mar,Apr,,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb
,,,,10,,,1ST ELECTRICAL FIX,10,,23-Feb-14,09-Mar-14,49,,,,,,,,,,"ELECT
D ELECT",,"RICAL FI
RICAL F","X
IX",,,,,,,,
,,,,10,,,2ND ELECTRICAL FIX,5,,05-Mar-14,12-Mar-14,60,,,,,,,,,,,,,,,,,,,,,
,,,,120,,,FINAL ELECTRICAL FIX,7,,08-Jun-14,18-Jun-14,105,,,,,,,,,,,,,F,INAL EL,"ECTRICA
13-
FIN","L FIX
Aug-14,
AL ELE","ground fl
CTRICAL","or
FIX",,,
,,,,,,ground flo,r,104,,16-Mar-14,13-Aug-14,76,,,,,,,,,,"1ST E
2ND",,"LECTRIC
ELECT","AL FIX
RICAL F",IX,,,,,,,
,,,,130,,,1ST ELECTRICAL FIX,10,,16-Mar-14,30-Mar-14,45,,,,,,,,,,,,,,,,,,,,,
,,,,140,,,2ND ELECTRICAL FIX,5,,03-Apr-14,10-Apr-14,45,,,,,,,,,,,,,,,,,,,,,
,,,,160,,,FINAL ELECTRICAL FIX,10,,30-Jul-14,13-Aug-14,76,,,,,,,,,,,,,,,,,,,,,
,,,,,,1st flor,,12,,05-Apr-14,29-Sep-14,54,,,,,,,,,,1,,"ST ELEC
2","TRICAL
ND ELEC","FIX
TRICAL",FIX,,"29-Sep
FINAL","-14, 1st
ELECTR
01-No","flor
ICAL FIX
v-14, 2nd",flor,
,,,,170,,,1ST ELECTRICAL FIX,10,,05-Apr-14,19-Apr-14,41,,,,,,,,,,,,,,,,,,,,,
,,,,180,,,2ND ELECTRICAL FIX,5,,10-May-14,17-May-14,3,,,,,,,,,,,,,,,,,,,,,
,,,,190,,,FINAL ELECTRICAL FIX,10,,15-Sep-14,29-Sep-14,54,,,,,,,,,,,,,,,,,,,,,
,,,,,,2nd flor,,130,,26-Apr-14,01-Nov-14,42,,,,,,,,,,,,,,,,,,,,,
,,,,120,,,1ST ELECTRICAL FIX,10,,26-Apr-14,10-May-14,37,,,,,,,,,,,,,ELECT,"RICAL FI
2ND EL","X
ECTRICA",L FIX,,FINAL,"ELECTR
16","ICAL FI
-Dec-14,","X
3rd f"
,,,,1210,,,2ND ELECTRICAL FIX,5,,17-Jun-14,24-Jun-14,29,,,,,,,,,,,,,,,,,,,,,
,,,,120,,,FINAL ELECTRICAL FIX,10,,18-Oct-14,01-Nov-14,42,,,,,,,,,,,,,,,,,,,,,
,,,,,,3rd flor,,145,,19-May-14,16-Dec-14,21,,,,,,,,,,,,,1ST E,LECTRI,CAL FIX,,,,,,
,,,,1230,,,1ST ELECTRICAL FIX,10,,19-May-14,02-Jun-14,31,,,,,,,,,,,,,,,,,,,,,
,,,,1240,,,2ND ELECTRICAL FIX,5,,20-Jul-14,27-Jul-14,21,,,,,,,,,,,,,,,2ND EL,ECTRIC,AL FIX,,FI,"NAL ELE
25-Dec-1","CTRI
4, ro"
,,,,1250,,,FINAL ELECTRICAL FIX,10,,01-Dec-14,16-Dec-14,21,,,,,,,,,,,,,,,,,,,,,
,,,,,,rof flor,,142,,02-Jun-14,25-Dec-14,21,,,,,,,,,,,,,1,ST ELEC,"TRICAL
2ND","FIX
ELECTR",ICAL FI,X,,,
,,,,1260,,,1ST ELECTRICAL FIX,10,,02-Jun-14,16-Jun-14,31,,,,,,,,,,,,,,,,,,,,,
,,,,1270,,,2ND ELECTRICAL FIX,5,,31-Jul-14,07-Aug-14,29,,,,,,,,,,,,,,,,,,,,,
,,,,1280,,,FINAL ELECTRICAL FIX,7,,16-Dec-14,25-Dec-14,21,,,,,,,,,,,,,,,,,,,,FINAL E,"LECT
0
F"
,,,,,,enterance &,staircase,163,,17-Jun-14,09-Feb-15,0,,,,,,,,,,,,,,1ST E,LECTRIC,"AL FIX
2ND E",LECTRI,CAL FIX,,,
,,,,1290,,,1ST ELECTRICAL FIX,10,,17-Jun-14,01-Jul-14,31,,,,,,,,,,,,,,,,,,,,,
,,,,130,,,2ND ELECTRICAL FIX,5,,26-Aug-14,02-Sep-14,50,,,,,,,,,,,,,,,,,,,,,
,,,,1310,,,FINAL ELECTRICAL FIX,10,,26-Jan-15,09-Feb-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,facades,,102,,01-Jul-14,26-Nov-14,51,,,,,,,,,,,,,,1ST,ELECT,RICAL F,IX,2,"26-Nov-
ND ELE
FINAL E","14, facad
CTRICAL
LECTRI","es
FIX
CAL
0"
,,,,1320,,,1ST ELECTRICAL FIX,7,,01-Jul-14,12-Jul-14,31,,,,,,,,,,,,,,,,,,,,,
,,,,130,,,2ND ELECTRICAL FIX,5,,13-Nov-14,20-Nov-14,0,,,,,,,,,,,,,,,,,,,,,
,,,,1340,,,FINAL ELECTRICAL FIX,4,,2-Nov-14,26-Nov-14,51,,,,,,,,,,,,,,,,,,,,,
,,,,,,al flor,,0,,09-Feb-15,09-Feb-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,1380,,,electrical closeout,0,,09-Feb-15,09-Feb-15,0,,,,,,,,,,,,,,,,,,,,,e
,c,,,onfeying sy,,,stem,7,,09-Feb-15,19-Feb-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,,elevator,,,7,,09-Feb-15,19-Feb-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,al flor,,7,,09-Feb-15,19-Feb-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,1350,,,ELEVATOR,7,,09-Feb-15,19-Feb-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,1390,,,confeying closeout,0,,19-Feb-15,19-Feb-15,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Actual Level of Efort Remaining Work Milestone
Actual Work Critical Remaining Work sumary",,,,,,,,,Page 6 of 6,,,,,,,,,,,"TASK filter: Al Activities
Resource Profile Filter:E01.excavator",,,,,,,,,,,,,
